number of cities,held karp time ms,local search time ms,held karp path length,local search path length
1,0.03472400000000064,0.14967600000000303,0,0
2,0.0932990000000018,0.06262600000000162,1,1
3,0.12189699999999704,0.07213099999999883,2,2
4,0.5654419999999973,0.10177900000000051,3,3
5,1.2066820000000007,0.11987399999999582,4,4
